,name,company,year,Price,kms_driven,fuel_type
0,HyundaiSantro,Hyundai,2007,80000,45000,Petrol
1,MahindraJeep,Mahindra,2006,425000,40,Diesel
2,HyundaiGrand,Hyundai,2014,325000,28000,Petrol
3,FordEcoSport,Ford,2014,575000,36000,Diesel
4,FordFigo,Ford,2012,175000,41000,Diesel
5,HyundaiEon,Hyundai,2013,190000,25000,Petrol
6,FordEcoSport,Ford,2016,830000,24530,Diesel
7,MarutiSuzuki,Maruti,2015,250000,60000,Petrol
8,SkodaFabia,Skoda,2010,182000,60000,Petrol
9,MarutiSuzuki,Maruti,2015,315000,30000,Petrol
10,HyundaiElite,Hyundai,2014,415000,32000,Petrol
11,MahindraScorpio,Mahindra,2015,320000,48660,Diesel
12,HyundaiSantro,Hyundai,2007,80000,45000,Petrol
13,MahindraJeep,Mahindra,2006,425000,40,Diesel
14,AudiA8,Audi,2017,1000000,4000,Petrol
15,AudiQ7,Audi,2014,500000,16934,Diesel
16,MahindraScorpio,Mahindra,2016,350000,43000,Diesel
17,MarutiSuzuki,Maruti,2014,160000,35550,Petrol
18,MahindraScorpio,Mahindra,2016,350000,43000,Diesel
19,MahindraScorpio,Mahindra,2016,310000,39522,Diesel
20,MarutiSuzuki,Maruti,2015,75000,39000,Petrol
21,Hyundaii20,Hyundai,2012,100000,55000,Petrol
22,Hyundaii20,Hyundai,2012,100000,55000,Petrol
23,Hyundaii20,Hyundai,2012,100000,55000,Petrol
24,MarutiSuzuki,Maruti,2017,190000,72000,Petrol
25,MarutiSuzuki,Maruti,2016,290000,15975,Diesel
26,MarutiSuzuki,Maruti,2008,95000,70000,Petrol
27,MahindraBolero,Mahindra,2017,180000,23452,Diesel
28,MarutiSuzuki,Maruti,2014,385000,35522,Diesel
29,MahindraScorpio,Mahindra,2015,250000,48508,Diesel
30,MarutiSuzuki,Maruti,2017,180000,15487,Petrol
31,MarutiSuzuki,Maruti,2013,105000,39000,Petrol
32,MarutiSuzuki,Maruti,2013,105000,39000,Petrol
33,ToyotaInnova,Toyota,2012,650000,82000,Diesel
34,RenaultLodgy,Renault,2018,689999,20000,Diesel
35,SkodaYeti,Skoda,2012,448000,68000,Diesel
36,MarutiSuzuki,Maruti,2017,549000,32000,Diesel
37,RenaultDuster,Renault,2012,501000,38000,Diesel
38,RenaultDuster,Renault,2013,489999,27000,Diesel
39,HondaCity,Honda,2011,280000,33000,Petrol
40,MarutiSuzuki,Maruti,2015,250000,60000,Petrol
41,MarutiSuzuki,Maruti,2013,349999,46000,Diesel
42,HondaAmaze,Honda,2013,284999,46000,Diesel
43,HondaAmaze,Honda,2015,345000,36000,Diesel
44,HondaCity,Honda,2015,499999,55000,Petrol
45,DatsunRedi,Datsun,2017,235000,16000,Petrol
46,MarutiSuzuki,Maruti,2010,249999,36000,Petrol
47,MitsubishiPajero,Mitsubishi,2015,1475000,47000,Diesel
48,MahindraBolero,Mahindra,2017,180000,23452,Diesel
49,MarutiSuzuki,Maruti,2014,385000,35522,Diesel
50,MahindraScorpio,Mahindra,2015,250000,48508,Diesel
51,MarutiSuzuki,Maruti,2017,180000,15487,Petrol
52,MarutiSuzuki,Maruti,2013,105000,39000,Petrol
53,MarutiSuzuki,Maruti,2013,105000,39000,Petrol
54,MahindraScorpio,Mahindra,2015,395000,35000,Diesel
55,MarutiSuzuki,Maruti,2017,220000,30874,Petrol
56,HondaCity,Honda,2017,170000,15000,Diesel
57,MarutiSuzuki,Maruti,2013,85000,29685,Petrol
58,FordFigo,Ford,2012,175000,41000,Diesel
59,HyundaiEon,Hyundai,2013,190000,25000,Petrol
60,TataIndigo,Tata,2017,200000,130000,Diesel
61,FordEcoSport,Ford,2016,830000,24530,Diesel
62,TataIndigo,Tata,2017,200000,130000,Diesel
63,MahindraScorpio,Mahindra,2012,570000,19000,Diesel
64,VolkswagenPolo,Volkswagen,2014,315000,60000,Petrol
65,SkodaFabia,Skoda,2010,182000,60000,Petrol
66,MarutiSuzuki,Maruti,2015,315000,30000,Petrol
67,ChevroletSpark,Chevrolet,2010,110000,41000,Petrol
68,RenaultDuster,Renault,2012,501000,35000,Diesel
69,HondaCity,Honda,2015,448999,54000,Petrol
70,MiniCooper,Mini,2013,1891111,13000,Petrol
71,DatsunRedi,Datsun,2017,235000,16000,Petrol
72,SkodaFabia,Skoda,2011,159500,38200,Diesel
73,HondaAmaze,Honda,2015,344999,22000,Petrol
74,HondaAmaze,Honda,2015,344999,22000,Petrol
75,RenaultDuster,Renault,2014,449999,50000,Diesel
76,MiniCooper,Mini,2013,1891111,13500,Petrol
77,MahindraScorpio,Mahindra,2015,865000,30000,Diesel
78,MahindraScorpio,Mahindra,2014,699000,50000,Diesel
